State,Tested,Infected,Deaths,Population,Pop Density,Gini,ICU Beds,Income,GDP,Unemployment,Sex Ratio,Smoking Rate,Flu Deaths,Respiratory Deaths,Physicians,Hospitals,Health Spending,Pollution,Med-Large Airports,Temperature,Urban,Age 0-25,Age 26-54,Age 55+,% Area in USA,Air quality,Average IQ,Total Homeless,Life Expectancy,Vaccination Rate
Alaska,26449,378,10,734002,1.2863,0.4081,119,59687,73205,5.8,1.0546875,21,12.1,35.3,1900,21,11064,6.4,1,26.6,66,0.36,0.39,0.25,0.22,29.1,99,1907,78.3,74.2
Alabama,125995,9668,390,4908621,96.9221,0.4847,1533,42334,45219,2.7,0.930144515,20.9,21.4,58,12205,101,7281,8.1,1,62.8,59,0.33,0.37,0.31,1.47,46.6,95.7,3261,75.4,81.2
Arkansas,65528,3747,88,3038999,58.403,0.4719,732,42566,42454,3.5,0.956629909,22.3,18,61.7,7150,88,7408,7.1,0,60.4,56.2,0.34,0.37,0.3,0.91,43.1,97.5,2717,76,79.4
Arizona,119907,10526,517,7378494,64.955,0.4713,1559,43650,48055,4.5,0.966964722,15.6,12.4,41.2,17806,83,6452,9.7,1,60.3,89.8,0.33,0.36,0.3,2.21,45.4,97.4,10007,79.6,81
California,875272,62512,2585,39937489,256.3727,0.4899,7338,62586,74205,3.9,0.975113261,11.3,15.6,30.9,112906,359,7549,12.8,9,59.4,95,0.33,0.4,0.26,11.94,46,95.5,151278,80.8,80.9
Colorado,100610,19375,967,5845526,56.4011,0.4586,1597,56846,63882,2.5,0.994849503,14.6,9.7,44,14509,89,6804,6.7,1,45.1,86.2,0.33,0.4,0.27,1.75,47.1,101.6,9619,80,77.3
Connecticut,123569,32984,2932,3563077,735.8689,0.4945,674,74561,76342,3.8,0.947106235,12.7,14.8,28.9,15605,32,9859,7.2,1,49,88,0.3,0.38,0.32,1.07,45,103.1,3033,80.8,85.5
District of Columbia,28183,6102,311,720687,11814.541,0.542,314,47285,200277,5.2,0.888569787,14.3,11.2,19.6,7346,10,11944,9.8,0,54.65,100,0.3,0.48,0.22,0.22,46.8,,6521,,83.4
Delaware,29296,6277,221,982895,504.3073,0.4522,186,51449,77253,3.9,0.926193922,17,13.1,40.4,3148,7,10254,8.3,0,55.3,83.3,0.3,0.37,0.33,0.29,46.4,100.4,921,78.4,87.2
Florida,527731,40001,1715,21992985,410.1256,0.4852,5604,49417,48318,2.8,0.942213099,16.1,9.6,37,56499,217,8076,7.4,7,70.7,91.2,0.29,0.37,0.35,6.58,38.9,98.4,28328,79.4,85.2
Georgia,235324,32588,1402,10736059,186.6719,0.4813,2508,45745,55832,3.1,0.927647742,17.5,14.5,45.7,25312,145,6587,8.3,1,63.5,75.1,0.35,0.39,0.26,3.21,48.2,98,10443,77.2,78.8
Hawaii,35216,631,17,1412687,219.9419,0.442,201,54565,64096,2.7,0.954597867,12.8,24.5,19.6,3660,22,7299,5.4,2,70,91.9,0.3,0.37,0.32,0.42,21.2,95.6,6412,81.3,79.2
Iowa,70261,11457,243,3179849,56.9284,0.4451,545,48823,59977,2.8,0.972411113,17.1,15.7,43.8,8511,118,8200,7.1,0,47.8,64,0.34,0.36,0.3,0.95,37.6,103.2,2315,79.7,83.5
Idaho,31628,2230,67,1826156,22.0969,0.4503,314,43155,43430,2.7,1.002976899,14.3,11.9,44.1,3012,45,6927,6.8,0,44.4,70.6,0.36,0.36,0.28,0.55,44.3,101.4,2315,79.5,81.2
Illinois,416331,76085,3349,12659682,228.0243,0.481,3144,56933,67268,3.4,0.955037547,15.5,16.3,36.2,43377,187,8262,9.3,2,51.8,88.5,0.33,0.38,0.28,3.79,43.6,99.9,10199,79,83
Indiana,135686,23732,1362,6745354,188.281,0.4527,1861,46646,55172,3.1,0.960335043,21.8,14,57.2,16816,132,8300,8.4,1,51.7,72.4,0.34,0.37,0.29,2.02,47.5,101.7,5471,77.6,78.6
Kansas,47708,6501,152,2910357,35.5968,0.455,767,50155,56334,3.1,0.981921778,17.4,17.1,50.4,7926,139,7651,7,0,54.3,74.2,0.35,0.36,0.29,0.87,42.8,102.8,2381,78.7,78.5
Kentucky,86900,6440,304,4499692,113.9566,0.4813,1392,41779,46898,4.2,0.963484683,24.6,18.3,62.1,11937,105,8004,8.1,1,55.6,58.4,0.33,0.38,0.3,1.35,46.1,99.4,4079,76,84.3
Louisiana,212157,31417,2194,4645184,107.5175,0.499,1289,45542,53589,5.2,0.93128083,23.1,15.6,43.1,13821,158,7815,7.9,1,66.4,73.2,0.34,0.37,0.28,1.39,40.4,95.3,2941,75.7,79
